"Amount.Requested","Amount.Funded.By.Investors","Interest.Rate","Loan.Length","Loan.Purpose","Debt.To.Income.Ratio","State","Home.Ownership","Monthly.Income","FICO.Range","Open.CREDIT.Lines","Revolving.CREDIT.Balance","Inquiries.in.the.Last.6.Months","Employment.Length"
14000,14000,0.1065,"36 months","debt_consolidation",0.2453,"washington","RENT",3200,"720-724",7,21214,1,"5 years"
18000,18000,0.089,"60 months","debt_consolidation",0.053,"oklahoma","MORTGAGE",8333.33,"755-759",8,5211,1,"6 years"
10000,9999.71,0.1349,"60 months","other",0.178,"illinois","RENT",2500,"720-724",8,3822,2,"8 years"
3600,3600,0.1677,"36 months","vacation",0.1345,"new york","RENT",8750,"670-674",8,51176,1,"1 year"
12000,10928.83,0.0579,"36 months","home_improvement",0.0225,"georgia","MORTGAGE",8000,"765-769",12,5193,0,"2 years"
4200,4200,0.2049,"60 months","other",0.288,"nevada","RENT",3166.67,"660-664",16,7728,3,"1 year"
4200,4200,0.1461,"36 months","educational",0.1528,"california","RENT",6333.33,"665-669",11,15578,0,"1 year"
11200,11200,0.2174,"60 months","debt_consolidation",0.063,"new york","RENT",5583.33,"660-664",12,7952,2,"10+ years"
15000,15000,0.1599,"36 months","debt_consolidation",0.0768,"virginia","RENT",4583,"675-679",10,15821,0,"2 years"
12100,12100,0.1199,"36 months","small_business",0.2478,"texas","RENT",8750,"755-759",10,1642,1,"1 year"
14000,13975,0.1398,"60 months","vacation",0.102,"georgia","RENT",3145.83,"715-719",8,3449,0,"< 1 year"
4900,4900,0.0599,"36 months","home_improvement",0.0664,"virginia","MORTGAGE",2666.67,"770-774",5,3455,1,"4 years"
19200,19200,0.1212,"36 months","credit_card",0.2958,"texas","OWN",3583.33,"715-719",11,29797,0,"8 years"
8500,8500,0.0976,"36 months","debt_consolidation",0.0658,"california","MORTGAGE",5333.33,"705-709",10,3432,0,"10+ years"
12000,11875,0.0788,"36 months","educational",0.1479,"california","RENT",3333.33,"760-764",8,1357,0,"2 years"
21000,21000,0.1922,"60 months","credit_card",0.1387,"illinois","MORTGAGE",6000,"680-684",10,17008,1,"10+ years"
35000,24868.47,0.1799,"60 months","home_improvement",0.0639,"new hampshire","MORTGAGE",14000,"715-719",7,3936,0,"10+ years"
10000,10000,0.1212,"36 months","credit_card",0.156,"michigan","OWN",3833.33,"685-689",6,4734,0,"10+ years"
10000,9975,0.1799,"60 months","car",0.0893,"california","RENT",4300,"685-689",4,37,1,"10+ years"
12000,12000,0.1849,"36 months","debt_consolidation",0.0944,"california","OWN",5746,"660-664",12,9561,0,"4 years"
12000,10325,0.1199,"60 months","debt_consolidation",0.0679,"california","RENT",4166.67,"720-724",11,5934,0,"4 years"
4000,3945.6,0.0676,"36 months","moving",0.2352,"kentucky","RENT",3350,"755-759",6,627,1,"1 year"
20000,20000,0.1972,"60 months","debt_consolidation",0.2478,"georgia","MORTGAGE",5416.67,"675-679",12,33166,0,"10+ years"
24375,24375,0.1399,"36 months","debt_consolidation",0.1364,"pennsylvania","MORTGAGE",11500,"695-699",16,35461,0,"10+ years"
7500,4538.17,0.0907,"36 months","other",0.0486,"florida","RENT",5000,"750-754",10,8575,1,"8 years"
9550,9550,0.1074,"36 months","debt_consolidation",0.1433,"alabama","MORTGAGE",4000,"700-704",8,9128,0,"3 years"
25000,24975,0.205,"60 months","debt_consolidation",0.0959,"ohio","RENT",5077.58,"690-694",6,17946,0,"10+ years"
3600,3600,0.1287,"36 months","debt_consolidation",0.0158,"new jersey","MORTGAGE",6333,"690-694",6,12135,3,"< 1 year"
10000,10000,0.1111,"36 months","debt_consolidation",0.2015,"new hampshire","RENT",6083.33,"700-704",3,924,0,"< 1 year"
20000,20000,0.0662,"36 months","debt_consolidation",0.1112,"california","RENT",10333.33,"790-794",8,12632,0,"6 years"
35000,35000,0.1074,"36 months","home_improvement",0.093,"pennsylvania","MORTGAGE",8300,"740-744",7,4421,1,"10+ years"
12000,12000,0.1212,"36 months","credit_card",0.0724,"new york","MORTGAGE",10416.67,"710-714",10,31489,1,"2 years"
20000,20000,0.079,"36 months","debt_consolidation",0.0838,"colorado","MORTGAGE",15000,"750-754",11,14621,2,"1 year"
18000,18000,0.1016,"36 months","debt_consolidation",0.2608,"south carolina","MORTGAGE",5925,"710-714",14,23378,0,"10+ years"
8000,7575,0.0751,"36 months","debt_consolidation",0.044,"texas","MORTGAGE",2430,"765-769",5,2783,0,"2 years"
4000,4000,0.0976,"36 months","debt_consolidation",0.1589,"california","MORTGAGE",4166.67,"705-709",17,13745,1,"10+ years"
6000,5975,0.079,"36 months","small_business",0.1886,"pennsylvania","RENT",2100,"715-719",9,4847,0,"3 years"
15000,15000,0.1777,"36 months","debt_consolidation",0.1334,"florida","MORTGAGE",4333.33,"670-674",9,17264,0,"10+ years"
20950,20950,0.1367,"60 months","major_purchase",0.089,"illinois","RENT",6666.67,"745-749",7,5680,1,"1 year"
10625,10625,0.079,"36 months","debt_consolidation",0.2235,"oregon","MORTGAGE",3333.33,"725-729",15,15946,0,"10+ years"
9000,9000,0.1016,"60 months","other",0.1477,"arizona","RENT",3500,"755-759",5,3135,0,"2 years"
20000,11800,0.1148,"36 months","debt_consolidation",0.2352,"alabama","MORTGAGE",4166.67,"745-749",11,24123,1,"< 1 year"
25800,25800,0.1311,"36 months","credit_card",0.1899,"vermont","RENT",4833.33,"715-719",7,31427,0,"4 years"
10000,10000,0.0662,"36 months","debt_consolidation",0.1145,"california","OWN",4166.67,"760-764",20,10385,1,"6 years"
12000,7595.31,0.1158,"36 months","small_business",0.1107,"connecticut","RENT",3333.33,"715-719",7,17495,0,"1 year"
18650,18650,0.2049,"36 months","debt_consolidation",0.2007,"ohio","MORTGAGE",4833.33,"660-664",12,17740,0,"10+ years"
10000,10000,0.1212,"36 months","credit_card",0.1693,"colorado","MORTGAGE",3816.67,"710-714",8,10830,2,"7 years"
14000,14000,0.1677,"36 months","credit_card",0.0967,"florida","MORTGAGE",12083.33,"670-674",13,28318,0,"< 1 year"
14000,14000,0.1409,"36 months","small_business",0.275,"california","RENT",9166.67,"695-699",17,18813,3,"8 years"
14400,13714.83,0.1756,"60 months","debt_consolidation",0.0706,"new york","RENT",5000,"670-674",6,715,4,"3 years"
8000,8000,0.1433,"36 months","debt_consolidation",0.1474,"california","RENT",3108,"690-694",3,3072,0,"8 years"
12000,11925,0.1183,"36 months","moving",0.1588,"virginia","RENT",10250,"720-724",15,46336,2,"5 years"
24375,24375,0.1311,"36 months","debt_consolidation",0.1086,"nevada","OWN",10416.67,"705-709",11,19981,0,"6 years"
3500,3500,0.079,"36 months","other",0.2204,"virginia","MORTGAGE",7247,"710-714",11,9592,0,"< 1 year"
7900,7900,0.1367,"36 months","debt_consolidation",0.084,"california","RENT",3000,"675-679",5,8990,0,"2 years"
10000,10000,0.1212,"36 months","debt_consolidation",0.1962,"california","RENT",3640,"695-699",11,13124,0,"10+ years"
10400,10375,0.1758,"60 months","small_business",0.0893,"california","RENT",7110.42,"725-729",8,856,0,"10+ years"
7500,7450,0.0714,"36 months","debt_consolidation",0.0861,"kentucky","MORTGAGE",2916.67,"755-759",6,7962,0,"2 years"
18800,18800,0.1433,"60 months","debt_consolidation",0.3096,"alabama","RENT",5000,"720-724",13,16397,0,"8 years"
21000,21000,0.1311,"36 months","debt_consolidation",0.1844,"virginia","MORTGAGE",7916.67,"695-699",10,9734,0,"7 years"
8500,8500,0.0662,"36 months","car",0.0724,"california","OWN",6300,"750-754",13,9769,1,"5 years"
13200,13200,0.1171,"36 months","credit_card",0.1574,"new york","RENT",3791.67,"705-709",10,16187,1,"5 years"
3000,3000,0.1999,"60 months","other",0.1963,"virginia","MORTGAGE",4416.67,"710-714",4,0,1,"5 years"
19200,19200,0.2247,"60 months","credit_card",0.1039,"arizona","RENT",5666.67,"670-674",5,17783,0,"< 1 year"
13600,13600,0.1864,"60 months","credit_card",0.1285,"minnesota","RENT",5651.33,"675-679",13,24383,0,"10+ years"
6000,6000,0.0788,"36 months","vacation",0.096,"pennsylvania","MORTGAGE",5500,"730-734",6,790,1,"3 years"
22000,22000,0.1465,"60 months","debt_consolidation",0.2926,"north carolina","MORTGAGE",3912,"705-709",8,21633,0,"10+ years"
12000,12000,0.1531,"36 months","debt_consolidation",0.138,"texas","MORTGAGE",3333.33,"665-669",10,16181,0,"10+ years"
5000,5000,0.1839,"36 months","vacation",0.1371,"new jersey","RENT",8125,"675-679",5,29602,0,"10+ years"
31050,30750,0.079,"36 months","debt_consolidation",0.1882,"georgia","MORTGAGE",6500,"770-774",15,71549,0,"9 years"
10000,10000,0.079,"36 months","major_purchase",0.128,"new jersey","RENT",6666.67,"730-734",11,9261,0,"1 year"
10000,10000,0.1409,"36 months","debt_consolidation",0.2145,"california","RENT",3750,"700-704",4,18621,0,"10+ years"
13250,13250,0.079,"36 months","debt_consolidation",0.2264,"colorado","RENT",2500,"740-744",7,12957,0,"< 1 year"
5000,5000,0.1427,"36 months","debt_consolidation",0.1841,"california","RENT",5208.33,"695-699",9,18055,1,"9 years"
14675,14675,0.1311,"36 months","debt_consolidation",0.2474,"texas","RENT",3166.67,"710-714",14,5727,0,"< 1 year"
7000,6875,0.1,"36 months","home_improvement",0.0168,"colorado","RENT",2375,"745-749",3,922,0,"< 1 year"
6000,6000,0.1777,"36 months","credit_card",0.3276,"michigan","OWN",1666.67,"665-669",12,15055,2,"< 1 year"
20000,20000,0.1269,"60 months","debt_consolidation",0.1796,"rhode island","MORTGAGE",4500,"735-739",13,22946,1,"10+ years"
7000,7000,0.1212,"36 months","debt_consolidation",0.3179,"south carolina","MORTGAGE",3916.67,"695-699",9,11648,3,"10+ years"
1500,1500,0.1212,"36 months","other",0.1537,"california","RENT",3625,"695-699",9,11346,1,"5 years"
35000,35000,0.1849,"36 months","debt_consolidation",0.1633,"new york","RENT",11000,"705-709",15,13766,1,"n/a"
20000,20000,0.1825,"60 months","credit_card",0.129,"pennsylvania","OWN",6666.67,"695-699",17,8039,1,"6 years"
21000,21000,0.1427,"60 months","debt_consolidation",0.1127,"georgia","MORTGAGE",5333.33,"710-714",8,19431,0,"8 years"
12500,12475,0.0603,"36 months","car",0.1482,"florida","RENT",4944.92,"755-759",11,6014,0,"2 years"
9600,9600,0.1446,"60 months","debt_consolidation",0.1027,"delaware","RENT",5500,"680-684",8,8359,2,"3 years"
8100,8100,0.1385,"36 months","debt_consolidation",0.1763,"florida","RENT",4600,"675-679",9,2963,0,"3 years"
15000,15000,0.1465,"36 months","debt_consolidation",0.2007,"michigan","MORTGAGE",3666.67,"690-694",11,13843,1,"5 years"
15000,14950,0.1632,"60 months","debt_consolidation",0.0753,"massachusetts","MORTGAGE",14000,"685-689",14,5469,4,"5 years"
11000,11000,0.1114,"36 months","debt_consolidation",0.1657,"new jersey","MORTGAGE",5000,"695-699",17,8734,0,"3 years"
9600,9600,0.1417,"36 months","credit_card",0.1861,"new york","OWN",5416.67,"670-674",21,16278,1,"8 years"
25000,25000,0.1311,"36 months","debt_consolidation",0.1852,"california","RENT",5000,"775-779",11,4345,3,"2 years"
14550,14550,0.1311,"36 months","debt_consolidation",0.2134,"washington","MORTGAGE",4583.33,"685-689",7,20141,0,"10+ years"
10000,10000,0.1074,"36 months","debt_consolidation",0.1788,"california","RENT",2500,"700-704",6,11120,0,"3 years"
24000,24000,0.1114,"60 months","debt_consolidation",0.2098,"district of columbia","OWN",8000,"705-709",9,20247,0,"2 years"
20000,19950,0.1065,"60 months","debt_consolidation",0.2402,"kansas","OWN",5200,"745-749",11,15709,0,"10+ years"
25000,24975,0.1149,"36 months","credit_card",0.1178,"california","MORTGAGE",25000,"725-729",14,37719,0,"7 years"
7200,7200,0.1777,"36 months","home_improvement",0.0218,"north carolina","MORTGAGE",3250,"670-674",4,1301,1,"4 years"
5000,5000,0.1433,"36 months","debt_consolidation",0.1112,"florida","RENT",2916.67,"675-679",5,4114,0,"10+ years"
20000,19975,0.1649,"60 months","debt_consolidation",0.1616,"minnesota","MORTGAGE",5000,"710-714",13,20337,3,"10+ years"
5600,5600,0.0791,"36 months","major_purchase",0.2021,"california","RENT",3166.67,"730-734",12,32987,0,"6 years"
20000,20000,0.079,"36 months","credit_card",0.013,"illinois","RENT",10400,"750-754",5,6969,0,"1 year"
6000,6000,0.089,"36 months","other",0.1716,"new york","MORTGAGE",12500,"715-719",12,60368,2,"< 1 year"
3200,3200,0.1749,"60 months","debt_consolidation",0.079,"california","RENT",2609,"670-674",9,5382,0,"3 years"
24375,24375,0.1409,"36 months","credit_card",0.2636,"montana","MORTGAGE",4583.33,"710-714",11,27379,3,"4 years"
25225,25225,0.1212,"36 months","debt_consolidation",0.3077,"california","MORTGAGE",6500,"715-719",8,11736,0,"10+ years"
20000,19900,0.1595,"60 months","debt_consolidation",0.122,"virginia","MORTGAGE",6666.67,"700-704",12,20744,1,"5 years"
30225,30225,0.1777,"36 months","credit_card",0.2815,"texas","MORTGAGE",8333.33,"710-714",21,28631,0,"10+ years"
7000,7000,0.074,"36 months","credit_card",0.0889,"arizona","MORTGAGE",3352,"770-774",14,14014,2,"< 1 year"
35000,14869.55,0.1565,"60 months","home_improvement",0.2619,"florida","MORTGAGE",6308.75,"735-739",14,34883,0,"10+ years"
7575,7575,0.0976,"36 months","debt_consolidation",0.1099,"texas","RENT",2375,"725-729",3,5640,0,"3 years"
15000,15000,0.1311,"36 months","other",0.1655,"pennsylvania","RENT",4166.67,"695-699",11,9066,0,"2 years"
24000,24000,0.1581,"60 months","small_business",0.0062,"new york","OWN",10000,"725-729",8,0,3,"10+ years"
19800,19775,0.1531,"60 months","debt_consolidation",0.1503,"illinois","MORTGAGE",6666.67,"675-679",10,46879,3,"6 years"
9250,6475,0.1075,"60 months","small_business",0.0341,"california","MORTGAGE",8500,"755-759",6,105060,0,"4 years"
6000,6000,0.1596,"36 months","debt_consolidation",0.0638,"north carolina","MORTGAGE",6916.67,"660-664",7,6309,1,"6 years"
3500,3500,0.1531,"36 months","other",0.0714,"new york","RENT",5000,"685-689",2,14064,0,"1 year"
12000,12000,0.0603,"36 months","medical",0.2257,"montana","MORTGAGE",7500,"760-764",8,5116,0,"10+ years"
20000,20000,0.079,"36 months","credit_card",0.1359,"california","RENT",7258.33,"730-734",5,14268,0,"9 years"
3900,3900,0.1212,"36 months","debt_consolidation",0.0755,"hawaii","MORTGAGE",2583.33,"685-689",8,3724,0,"1 year"
16000,16000,0.1922,"60 months","credit_card",0.2128,"north carolina","RENT",3416.67,"680-684",8,26060,1,"10+ years"
15000,15000,0.1599,"36 months","other",0.1134,"south carolina","MORTGAGE",8583.33,"675-679",6,3844,2,"7 years"
28200,28200,0.205,"60 months","debt_consolidation",0.156,"new york","MORTGAGE",4833.33,"695-699",18,27158,0,"9 years"
15000,14975,0.1349,"36 months","small_business",0.0344,"alaska","RENT",6666.67,"705-709",3,2698,0,"< 1 year"
7400,7400,0.1399,"36 months","other",0.2052,"new york","RENT",4166.25,"675-679",17,6653,1,"n/a"
15000,15000,0.1059,"36 months","debt_consolidation",0.1466,"massachusetts","RENT",5150,"730-734",9,5116,2,"2 years"
4500,4500,0.0599,"36 months","debt_consolidation",0.2146,"new york","RENT",3644.83,"765-769",8,1058,2,"< 1 year"
3000,3000,0.1409,"36 months","debt_consolidation",0.1236,"north carolina","RENT",4789.33,"680-684",9,1353,2,"10+ years"
9000,9000,0.1427,"36 months","debt_consolidation",0.1874,"texas","RENT",5833.33,"675-679",13,11637,3,"8 years"
4000,4000,0.089,"36 months","credit_card",0.2411,"florida","RENT",4583.33,"705-709",17,11351,0,"1 year"
10000,10000,0.1727,"36 months","credit_card",0.2184,"michigan","MORTGAGE",2916.67,"665-669",18,21245,0,"10+ years"
6400,6400,0.1599,"60 months","debt_consolidation",0.2443,"new york","RENT",3500,"690-694",9,973,0,"4 years"
4325,4325,0.1016,"36 months","debt_consolidation",0.0179,"georgia","MORTGAGE",11000,"715-719",9,75,3,"n/a"
12000,12000,0.1311,"36 months","debt_consolidation",0.1704,"washington","MORTGAGE",4583.33,"695-699",9,41871,0,"3 years"
10000,10000,0.1531,"36 months","debt_consolidation",0.104,"california","RENT",9000,"665-669",12,5141,0,"10+ years"
12000,12000,0.1016,"36 months","home_improvement",0.0805,"massachusetts","MORTGAGE",6250,"720-724",9,11626,0,"< 1 year"
6000,6000,0.1212,"36 months","debt_consolidation",0.0494,"wisconsin","MORTGAGE",4333.33,"690-694",12,9656,2,"5 years"
2200,2200,0.1349,"36 months","debt_consolidation",0.0327,"washington","OWN",6666.67,"700-704",2,10142,0,"5 years"
5000,5000,0.1427,"36 months","debt_consolidation",0.17,"florida","OWN",5000,"670-674",9,14748,3,"1 year"
12000,12000,0.1969,"60 months","debt_consolidation",0.1623,"nevada","RENT",3376,"665-669",12,8437,1,"4 years"
3000,3000,0.079,"36 months","credit_card",0.2203,"pennsylvania","MORTGAGE",5583.33,"705-709",15,12968,0,"3 years"
30000,30000,0.2149,"60 months","debt_consolidation",0.1689,"new york","MORTGAGE",13999.17,"700-704",14,61579,0,"10+ years"
10800,10800,0.1212,"36 months","debt_consolidation",0.267,"new jersey","RENT",5833.33,"695-699",6,27585,0,"5 years"
10500,10500,0.1825,"36 months","debt_consolidation",0.1152,"georgia","MORTGAGE",8750,"660-664",15,9984,3,"8 years"
10000,10000,0.0662,"36 months","debt_consolidation",0.0549,"california","MORTGAGE",10833.33,"755-759",5,40827,0,"7 years"
24000,23950,0.1212,"36 months","debt_consolidation",0.2668,"texas","MORTGAGE",5791.67,"715-719",13,34104,0,"10+ years"
16000,16000,0.1409,"36 months","debt_consolidation",0.0285,"california","MORTGAGE",3333.33,"690-694",6,3909,0,"7 years"
15000,15000,0.1399,"36 months","debt_consolidation",0.126,"michigan","MORTGAGE",3500,"705-709",7,13036,1,"10+ years"
9500,9500,0.2198,"36 months","other",0.1601,"pennsylvania","RENT",4500,"660-664",7,3673,1,"3 years"
35000,35000,0.1905,"36 months","debt_consolidation",0.1575,"florida","MORTGAGE",18750,"690-694",21,73813,1,"4 years"
5000,5000,0.079,"36 months","debt_consolidation",0.2182,"texas","MORTGAGE",4166.67,"725-729",8,15502,1,"n/a"
15000,15000,0.1171,"36 months","debt_consolidation",0.117,"florida","RENT",6250,"700-704",6,6622,0,"6 years"
5000,5000,0.1531,"36 months","debt_consolidation",0.1737,"georgia","RENT",1750,"675-679",3,10361,0,"< 1 year"
19000,18975,0.1114,"36 months","debt_consolidation",0.1983,"california","RENT",4548.83,"775-779",12,33809,1,"5 years"
11625,11625,0.158,"36 months","debt_consolidation",0.3112,"oklahoma","RENT",2860,"680-684",14,8374,2,"7 years"
25000,25000,0.0762,"36 months","wedding",0.1345,"new york","RENT",6750,"750-754",16,17193,0,"5 years"
8000,8000,0.1269,"36 months","debt_consolidation",0.0767,"alabama","OWN",7916.67,"685-689",4,1442,0,"6 years"
9800,9675,0.0859,"36 months","major_purchase",0.1499,"hawaii","MORTGAGE",3583.33,"760-764",12,5164,0,"3 years"
6000,5975,0.08,"36 months","wedding",0.0106,"new york","RENT",5000,"765-769",6,7161,0,"3 years"
10200,10200,0.1242,"36 months","debt_consolidation",0.1786,"colorado","MORTGAGE",5833.33,"705-709",9,9817,2,"4 years"
10500,10500,0.0662,"36 months","medical",0.1626,"oklahoma","MORTGAGE",4853.33,"760-764",9,2816,1,"3 years"
5000,5000,0.079,"36 months","small_business",0.0775,"illinois","MORTGAGE",5500,"725-729",11,16396,3,"< 1 year"
17500,17500,0.079,"36 months","small_business",0.0797,"california","RENT",5416.67,"810-814",4,17,0,"< 1 year"
4000,4000,0.1903,"36 months","other",0.1056,"california","RENT",1600,"685-689",2,299,0,"6 years"
22000,22000,0.1212,"36 months","debt_consolidation",0.1693,"new york","RENT",3916.67,"715-719",4,22142,0,"1 year"
5000,4900,0.0579,"36 months","other",0.0918,"new york","RENT",5520,"750-754",10,7351,0,"7 years"
8000,8000,0.1629,"36 months","credit_card",0.2919,"illinois","MORTGAGE",6916.67,"685-689",14,21498,2,"4 years"
19125,19125,0.1849,"60 months","other",0.291,"georgia","RENT",4166.67,"700-704",14,28108,3,"6 years"
16000,16000,0.1212,"36 months","debt_consolidation",0.1823,"new york","RENT",4166.67,"700-704",14,16309,0,"1 year"
4500,4500,0.1459,"36 months","vacation",0.1735,"new york","OWN",6000,"660-664",18,5197,4,"2 years"
5800,5800,0.2245,"60 months","other",0.1186,"california","RENT",1416.67,"665-669",3,6077,2,"6 years"
16750,16750,0.1875,"36 months","debt_consolidation",0.0884,"florida","MORTGAGE",5666.67,"680-684",8,13567,1,"4 years"
3600,3600,0.1212,"36 months","debt_consolidation",0.2716,"california","OWN",3333.33,"695-699",15,12153,1,"10+ years"
10000,10000,0.1562,"36 months","debt_consolidation",0.1219,"new york","RENT",7500,"670-674",12,17133,1,"10+ years"
6000,6000,0.0542,"36 months","vacation",0.0151,"maryland","OWN",4250,"800-804",14,1838,0,"10+ years"
10000,10000,0.0762,"36 months","medical",0.1326,"minnesota","MORTGAGE",7416.67,"735-739",12,16297,2,"10+ years"
10000,10000,0.1777,"36 months","credit_card",0.058,"colorado","RENT",7166.67,"685-689",3,15279,1,"10+ years"
5000,5000,0.0749,"36 months","home_improvement",0.1645,"virginia","MORTGAGE",18750,"745-749",10,129071,0,"10+ years"
35000,34950,0.2376,"60 months","debt_consolidation",0.2422,"new york","RENT",7331.25,"665-669",16,28687,2,"4 years"
7000,7000,0.079,"36 months","wedding",0.2072,"connecticut","RENT",6000,"715-719",9,6659,0,"< 1 year"
3000,1647.62,0.102,"36 months","major_purchase",0.0033,"connecticut","RENT",4583.33,"800-804",3,37,0,"< 1 year"
28000,28000,0.1562,"36 months","debt_consolidation",0.057,"georgia","MORTGAGE",6250,"695-699",6,11923,1,"3 years"
15200,6800,0.1558,"60 months","home_improvement",0.1922,"district of columbia","MORTGAGE",12083.33,"690-694",20,19712,2,"2 years"
15775,15775,0.1465,"36 months","other",0.0337,"new york","RENT",4000,"710-714",11,4058,1,"10+ years"
30000,22425,0.1059,"36 months","home_improvement",0.0815,"minnesota","MORTGAGE",22916.67,"765-769",13,1945,0,"4 years"
3000,3000,0.0991,"36 months","wedding",0.0475,"illinois","OWN",4166.67,"710-714",9,7321,3,"6 years"
15350,15350,0.1849,"36 months","debt_consolidation",0.1509,"georgia","MORTGAGE",4400,"670-674",7,12823,0,"10+ years"
26500,26500,0.0976,"60 months","small_business",0.1719,"new york","MORTGAGE",5416.67,"785-789",13,9966,0,"10+ years"
6400,6400,0.06,"60 months","home_improvement",0.0309,"florida","MORTGAGE",6250,"695-699",5,241,0,"3 years"
13200,13200,0.1433,"36 months","debt_consolidation",0.2875,"california","RENT",3833.33,"695-699",9,8568,1,"10+ years"
12000,12000,0.1149,"36 months","debt_consolidation",0.1773,"california","MORTGAGE",7300,"705-709",9,38342,0,"4 years"
4000,4000,0.0603,"36 months","car",0.3367,"georgia","MORTGAGE",7917,"800-804",19,55123,1,"10+ years"
2500,2500,0.0662,"36 months","home_improvement",0.1096,"maryland","MORTGAGE",6166.67,"730-734",14,24495,0,"10+ years"
28000,27925,0.1855,"36 months","debt_consolidation",0.0899,"louisiana","MORTGAGE",6666.67,"700-704",6,14189,2,"n/a"
9000,8975,0.089,"36 months","debt_consolidation",0.0733,"california","RENT",12500,"730-734",4,12964,0,"5 years"
6600,6600,0.0603,"36 months","home_improvement",0.1669,"north carolina","MORTGAGE",6250,"750-754",14,17258,0,"10+ years"
27050,27050,0.1727,"60 months","credit_card",0.2759,"washington","MORTGAGE",5025,"705-709",13,40037,1,"10+ years"
4800,4800,0.1599,"36 months","major_purchase",0,"illinois","RENT",4583.33,"675-679",2,0,0,"6 years"
7550,7550,0.1016,"36 months","debt_consolidation",0.0383,"california","MORTGAGE",8333.33,"710-714",10,10204,0,"2 years"
10000,10000,0.0774,"36 months","debt_consolidation",0.0017,"oregon","MORTGAGE",7083.33,"775-779",9,2994,0,"10+ years"
12500,12275,0.1126,"36 months","credit_card",0.1221,"texas","RENT",4333.33,"730-734",6,12568,2,"8 years"
27575,27575,0.1905,"36 months","debt_consolidation",0.193,"wisconsin","RENT",5166.67,"660-664",6,14935,1,"10+ years"
20000,20000,0.1311,"36 months","debt_consolidation",0.0394,"illinois","MORTGAGE",7238.92,"720-724",6,11751,3,"10+ years"
15000,14900,0.1461,"36 months","major_purchase",0.0917,"texas","RENT",3000,"730-734",8,0,2,"< 1 year"
18000,18000,0.089,"36 months","home_improvement",0.1279,"nevada","MORTGAGE",10500,"730-734",15,4856,2,"< 1 year"
5400,5375,0.089,"36 months","small_business",0.0627,"ohio","RENT",3000,"785-789",2,90,2,"n/a"
23000,22950,0.1581,"36 months","credit_card",0.1602,"california","RENT",7083.33,"695-699",8,9664,2,"4 years"
8000,7950,0.0579,"36 months","home_improvement",0.1965,"florida","OWN",5833.33,"770-774",8,0,0,"3 years"
3000,2950,0.1269,"36 months","debt_consolidation",0.0425,"south carolina","OWN",1200,"705-709",4,1643,0,"< 1 year"
7200,7200,0.0692,"36 months","credit_card",0.1172,"rhode island","MORTGAGE",7083.33,"780-784",6,15933,1,"3 years"
15350,15350,0.158,"36 months","credit_card",0.0741,"colorado","MORTGAGE",5666.67,"670-674",6,8128,0,"1 year"
6000,6000,0.1212,"36 months","wedding",0.2121,"georgia","RENT",3333.33,"685-689",8,4638,0,"2 years"
15000,8081.65,0.1316,"36 months","debt_consolidation",0.1316,"georgia","MORTGAGE",2583.33,"755-759",3,4923,2,"9 years"
5000,5000,0.1268,"60 months","moving",0.1259,"new york","RENT",4416.67,"690-694",13,7686,0,"< 1 year"
2575,2575,0.0676,"36 months","educational",0.048,"massachusetts","RENT",6875,"760-764",6,4678,2,"3 years"
1800,1800,0.1367,"36 months","vacation",0.2421,"new york","RENT",4250,"670-674",11,5757,0,"5 years"
10000,10000,0.1409,"36 months","other",0.2644,"washington","MORTGAGE",5416.67,"700-704",6,18652,1,"6 years"
7750,7750,0.1074,"36 months","debt_consolidation",0.0651,"utah","MORTGAGE",2916.67,"705-709",5,6889,0,"6 years"
12000,12000,0.1629,"36 months","debt_consolidation",0.2876,"connecticut","RENT",5666.67,"660-664",21,16822,2,"3 years"
10000,10000,0.0603,"36 months","debt_consolidation",0.16,"kentucky","MORTGAGE",8333.33,"780-784",11,14832,0,"10+ years"
4950,4950,0.1367,"36 months","debt_consolidation",0.1411,"california","MORTGAGE",4166.67,"665-669",15,8379,0,"5 years"
8400,8350,0.0603,"36 months","medical",0.1534,"washington","MORTGAGE",3200,"760-764",6,10576,0,"n/a"
3500,3500,0.1212,"36 months","other",0.1782,"california","MORTGAGE",5416.67,"695-699",15,4067,3,"< 1 year"
12000,12000,0.1629,"36 months","credit_card",0.1837,"texas","MORTGAGE",7083.33,"665-669",16,16993,2,"7 years"
18000,18000,0.2247,"60 months","credit_card",0.1717,"ohio","MORTGAGE",5562.92,"660-664",13,14866,3,"7 years"
14675,14650,0.1299,"60 months","debt_consolidation",0.2918,"florida","RENT",3167,"725-729",7,21088,1,"6 years"
13000,13000,0.1409,"36 months","credit_card",0.1609,"connecticut","RENT",3250,"675-679",6,6930,0,"2 years"
15000,15000,0.1311,"36 months","debt_consolidation",0.3312,"new york","RENT",4166.67,"695-699",10,13198,0,"9 years"
8250,8205.63,0.0932,"36 months","credit_card",0.2445,"ohio","MORTGAGE",3300,"755-759",17,29576,2,"8 years"
6900,6900,0.1409,"36 months","credit_card",0.1778,"arkansas","OWN",4166.67,"685-689",9,9720,1,"10+ years"
35000,35000,0.2049,"60 months","debt_consolidation",0.1254,"pennsylvania","MORTGAGE",10416.67,"685-689",14,26487,4,"2 years"
25000,23995.24,0.1062,"36 months","debt_consolidation",0.1221,"virginia","RENT",11166.67,"750-754",6,28556,0,"7 years"
